名称,备注,实现情况
_id,抖音视频ID,√
aweme_id,视频ID,√
created_at,创建时间,√
content,视频描述,√
video_url,视频URL,√
video_cover,视频封面URL,√
video_duration,视频时长(秒),√
music_title,背景音乐标题,√
music_author,背景音乐作者,√
location,地理位置,√
hashtags,话题标签JSON,√
digg_count,点赞数量,√
comment_count,评论数量,√
share_count,分享数量,√
play_count,播放数量,√
user:_id,用户ID,√
user:name,用户昵称,√
user:avatar,用户头像URL,√
user:verified,是否认证,√
url,视频URL,√
keyword,关键词,√
platform,平台标识,√
crawl_time,爬取时间,√
created_time,记录创建时间,√
updated_time,记录更新时间,√
